,WELL,SAMPLE,CONCENTRATION,TARGET,POSITIVES,NEGATIVES,CH1+CH2+,CH1+CH2-,CH1-CH2+,CH1-CH2-,ACCEPTEDDROPLETS,ESTIMATED_PERCENTAGE,SAME_EST_WITHIN_SAMPLE
1,H01,NC,0,2,0,18660,0,0,0,18660,18660,NA,FALSE
2,H02,NC,0.06,2,1,19351,0,1,3,19348,19352,-0.01,FALSE
3,H01,NC,0,1,0,18660,0,0,0,18660,18660,NA,FALSE
4,H02,NC,0.18,1,3,19349,0,1,3,19348,19352,-0.01,FALSE
5,H03,NTC,0,2,0,19273,0,0,0,19273,19273,NA,NA
6,H04,NTC,0.07,2,1,17909,1,0,2,17907,17910,NA,NA
7,H03,NTC,0,1,0,19273,0,0,0,19273,19273,NA,NA
8,H04,NTC,0.2,1,3,17907,1,0,2,17907,17910,NA,NA
9,A01,S1_01,4670,2,16647,320,16394,253,115,205,16967,71.71,TRUE
10,A01,S1_01,4250,1,16509,458,16394,253,115,205,16967,71.71,TRUE
11,A02,S1_02,3720,2,17141,761,16751,390,190,571,17902,76.55,TRUE
12,A02,S1_02,3440,1,16941,961,16751,390,190,571,17902,76.55,TRUE
13,A03,S1_03,2810,2,15962,1613,15426,536,305,1308,17575,78.71,TRUE
14,A03,S1_03,2650,1,15731,1844,15426,536,305,1308,17575,78.71,TRUE
15,A04,S1_04,1871,2,14766,3781,14086,680,395,3386,18547,82.75,TRUE
16,A04,S1_04,1785,1,14481,4066,14086,680,395,3386,18547,82.75,TRUE
17,A05,S1_05,896,2,10497,9192,9860,637,371,8821,19689,86.19,TRUE
18,A05,S1_05,863,1,10231,9458,9860,637,371,8821,19689,86.19,TRUE
19,A06,S1_06,473,2,5917,11953,5509,408,233,11720,17870,87.22,TRUE
20,A06,S1_06,456,1,5742,12128,5509,408,233,11720,17870,87.22,TRUE
21,A07,S1_07,240,2,3194,14145,2948,246,154,13991,17339,86.77,TRUE
22,A07,S1_07,232,1,3102,14237,2948,246,154,13991,17339,86.77,TRUE
23,A08,S1_08,121,2,1726,16002,1606,120,67,15935,17728,89.03,TRUE
24,A08,S1_08,117,1,1673,16055,1606,120,67,15935,17728,89.03,TRUE
25,A09,S1_09,56.7,2,880,17832,812,68,45,17787,18712,87.48,TRUE
26,A09,S1_09,55.2,1,857,17855,812,68,45,17787,18712,87.48,TRUE
27,A10,S1_10,27.1,2,427,18299,391,36,15,18284,18726,88.33,TRUE
28,A10,S1_10,25.8,1,406,18320,391,36,15,18284,18726,88.33,TRUE
29,A11,S1_11,15.6,2,255,19144,229,26,13,19131,19399,85.31,TRUE
30,A11,S1_11,14.8,1,242,19157,229,26,13,19131,19399,85.31,TRUE
31,A12,S1_12,7.8,2,111,16666,99,12,8,16658,16777,83.08,TRUE
32,A12,S1_12,7.5,1,107,16670,99,12,8,16658,16777,83.08,TRUE
33,B01,S2_01,3440,2,16028,912,15856,172,667,245,16940,56.42,TRUE
34,B01,S2_01,4360,1,16523,417,15856,172,667,245,16940,56.42,TRUE
35,B02,S2_02,2850,2,15900,1550,15621,279,991,559,17450,58.59,TRUE
36,B02,S2_02,3570,1,16612,838,15621,279,991,559,17450,58.59,TRUE
37,B03,S2_03,2122,2,15749,3105,15353,396,1695,1410,18854,60.01,TRUE
38,B03,S2_03,2760,1,17048,1806,15353,396,1695,1410,18854,60.01,TRUE
39,B04,S2_04,1400,2,13838,6051,13278,560,2326,3725,19889,62.68,TRUE
40,B04,S2_04,1806,1,15604,4285,13278,560,2326,3725,19889,62.68,TRUE
41,B05,S2_05,688,2,8906,11213,8371,535,2349,8864,20119,64.17,TRUE
42,B05,S2_05,895,1,10720,9399,8371,535,2349,8864,20119,64.17,TRUE
43,B06,S2_06,339,2,4536,13599,4201,335,1459,12140,18135,64.94,TRUE
44,B06,S2_06,440,1,5660,12475,4201,335,1459,12140,18135,64.94,TRUE
45,B07,S2_07,177,2,2737,16880,2543,194,992,15888,19617,65.51,TRUE
46,B07,S2_07,234,1,3535,16082,2543,194,992,15888,19617,65.51,TRUE
47,B08,S2_08,82.5,2,1186,16333,1097,89,447,15886,17519,65.93,TRUE
48,B08,S2_08,109,1,1544,15975,1097,89,447,15886,17519,65.93,TRUE
49,B09,S2_09,41.5,2,684,19059,614,70,263,18796,19743,64.15,TRUE
50,B09,S2_09,53.5,1,877,18866,614,70,263,18796,19743,64.15,TRUE
51,B10,S2_10,22.4,2,355,18486,313,42,128,18358,18841,64.43,TRUE
52,B10,S2_10,27.9,1,441,18400,313,42,128,18358,18841,64.43,TRUE
53,B11,S2_11,10.4,2,177,19859,163,14,53,19806,20036,70.69,TRUE
54,B11,S2_11,12.8,1,216,19820,163,14,53,19806,20036,70.69,TRUE
55,B12,S2_12,5.9,2,97,19377,90,7,35,19342,19474,67.99,TRUE
56,B12,S2_12,7.6,1,125,19349,90,7,35,19342,19474,67.99,TRUE
57,C01,S3_01,2365,2,15833,2448,15705,128,2183,265,18281,38.18,TRUE
58,C01,S3_01,4520,1,17888,393,15705,128,2183,265,18281,38.18,TRUE
59,C02,S3_02,1863,2,13867,3583,13678,189,2981,602,17450,38.91,TRUE
60,C02,S3_02,3640,1,16659,791,13678,189,2981,602,17450,38.91,TRUE
61,C03,S3_03,1420,2,12900,5507,12602,298,4041,1466,18407,40.38,TRUE
62,C03,S3_03,2760,1,16643,1764,12602,298,4041,1466,18407,40.38,TRUE
63,C04,S3_04,930,2,9710,8061,9366,344,4657,3404,17771,42.01,TRUE
64,C04,S3_04,1831,1,14023,3748,9366,344,4657,3404,17771,42.01,TRUE
65,C05,S3_05,476,2,6254,12532,5909,345,4416,8116,18786,43.28,TRUE
66,C05,S3_05,938,1,10325,8461,5909,345,4416,8116,18786,43.28,TRUE
67,C06,S3_06,237,2,3334,14971,3120,214,3009,11962,18305,43.09,TRUE
68,C06,S3_06,480,1,6129,12176,3120,214,3009,11962,18305,43.09,TRUE
69,C07,S3_07,115,2,1782,17428,1636,146,1676,15752,19210,44.4,TRUE
70,C07,S3_07,223,1,3312,15898,1636,146,1676,15752,19210,44.4,TRUE
71,C08,S3_08,57.3,2,861,17249,793,68,915,16334,18110,43.16,TRUE
72,C08,S3_08,117,1,1708,16402,793,68,915,16334,18110,43.16,TRUE
73,C09,S3_09,29,2,468,18759,431,37,498,18261,19227,43.87,TRUE
74,C09,S3_09,58.3,1,929,18298,431,37,498,18261,19227,43.87,TRUE
75,C10,S3_10,16.6,2,260,18265,244,16,259,18006,18525,46.58,TRUE
76,C10,S3_10,32.4,1,503,18022,244,16,259,18006,18525,46.58,TRUE
77,C11,S3_11,7.6,2,121,18550,112,9,109,18441,18671,48.43,TRUE
78,C11,S3_11,14,1,221,18450,112,9,109,18441,18671,48.43,TRUE
79,C12,S3_12,4.5,2,72,18911,66,6,60,18851,18983,49.73,TRUE
80,C12,S3_12,7.8,1,126,18857,66,6,60,18851,18983,49.73,TRUE
81,D01,S4_01,1140,2,10236,6260,10167,69,5920,340,16496,20.2,TRUE
82,D01,S4_01,4350,1,16087,409,10167,69,5920,340,16496,20.2,TRUE
83,D02,S4_02,880,2,8207,7376,8122,85,6648,728,15583,20.81,TRUE
84,D02,S4_02,3470,1,14770,813,8122,85,6648,728,15583,20.81,TRUE
85,D03,S4_03,696,2,8549,10598,8420,129,8945,1653,19147,21.08,TRUE
86,D03,S4_03,2790,1,17365,1782,8420,129,8945,1653,19147,21.08,TRUE
87,D04,S4_04,461,2,6145,12815,5959,186,9152,3663,18960,20.81,TRUE
88,D04,S4_04,1876,1,15111,3849,5959,186,9152,3663,18960,20.81,TRUE
89,D05,S4_05,227,2,3322,15579,3156,166,7119,8460,18901,21.63,TRUE
90,D05,S4_05,923,1,10275,8626,3156,166,7119,8460,18901,21.63,TRUE
91,D06,S4_06,108,2,1607,16786,1519,88,4468,12318,18393,21.02,TRUE
92,D06,S4_06,463,1,5987,12406,1519,88,4468,12318,18393,21.02,TRUE
93,D07,S4_07,55.6,2,774,15999,724,50,2333,13666,16773,21.28,TRUE
94,D07,S4_07,237,1,3057,13716,724,50,2333,13666,16773,21.28,TRUE
95,D08,S4_08,27.7,2,419,17618,382,37,1322,16296,18037,20.89,TRUE
96,D08,S4_08,117,1,1704,16333,382,37,1322,16296,18037,20.89,TRUE
97,D09,S4_09,13.5,2,214,18504,202,12,715,17789,18718,21.2,TRUE
98,D09,S4_09,59.1,1,917,17801,202,12,715,17789,18718,21.2,TRUE
99,D10,S4_10,8,2,130,19099,118,12,375,18724,19229,22.97,TRUE
100,D10,S4_10,30.6,1,493,18736,118,12,375,18724,19229,22.97,TRUE
101,D11,S4_11,4.2,2,67,18930,62,5,204,18726,18997,22.47,TRUE
102,D11,S4_11,16.6,1,266,18731,62,5,204,18726,18997,22.47,TRUE
103,D12,S4_12,1.4,2,22,18561,19,3,92,18469,18583,16.36,TRUE
104,D12,S4_12,7,1,111,18472,19,3,92,18469,18583,16.36,TRUE
105,E01,S5_01,566,2,6759,10935,6726,33,10579,356,17694,10.05,TRUE
106,E01,S5_01,4490,1,17305,389,6726,33,10579,356,17694,10.05,TRUE
107,E02,S5_02,464,2,5682,11745,5631,51,11089,656,17427,9.75,TRUE
108,E02,S5_02,3770,1,16720,707,5631,51,11089,656,17427,9.75,TRUE
109,E03,S5_03,355,2,4645,13197,4593,52,11745,1452,17842,10.62,TRUE
110,E03,S5_03,2910,1,16338,1504,4593,52,11745,1452,17842,10.62,TRUE
111,E04,S5_04,237,2,3102,13891,3027,75,10672,3219,16993,10.73,TRUE
112,E04,S5_04,1930,1,13699,3294,3027,75,10672,3219,16993,10.73,TRUE
113,E05,S5_05,117,2,1629,15646,1562,67,8093,7553,17275,10.9,TRUE
114,E05,S5_05,963,1,9655,7620,1562,67,8093,7553,17275,10.9,TRUE
115,E06,S5_06,61.7,2,955,17745,885,70,5451,12294,18700,11.15,TRUE
116,E06,S5_06,487,1,6336,12364,885,70,5451,12294,18700,11.15,TRUE
117,E07,S5_07,28.1,2,389,16068,359,30,2681,13387,16457,10.49,TRUE
118,E07,S5_07,240,1,3040,13417,359,30,2681,13387,16457,10.49,TRUE
119,E08,S5_08,13.8,2,217,18341,196,21,1627,16714,18558,10.03,TRUE
120,E08,S5_08,122,1,1823,16735,196,21,1627,16714,18558,10.03,TRUE
121,E09,S5_09,8.2,2,115,16445,107,8,746,15699,16560,12.08,TRUE
122,E09,S5_09,62.2,1,853,15707,107,8,746,15699,16560,12.08,TRUE
123,E10,S5_10,4.5,2,68,17616,61,7,394,17222,17684,13,TRUE
124,E10,S5_10,30.7,1,455,17229,61,7,394,17222,17684,13,TRUE
125,E11,S5_11,2.9,2,48,19592,45,3,237,19355,19640,15.66,TRUE
126,E11,S5_11,17,1,282,19358,45,3,237,19355,19640,15.66,TRUE
127,E12,S5_12,0.81,2,13,18824,10,3,104,18720,18837,8.23,TRUE
128,E12,S5_12,7.1,1,114,18723,10,3,104,18720,18837,8.23,TRUE
129,F01,S6_01,313,2,4392,14390,4370,22,14018,372,18782,5.33,TRUE
130,F01,S6_01,4550,1,18388,394,4370,22,14018,372,18782,5.33,TRUE
131,F02,S6_02,243,2,3413,14863,3382,31,14173,690,18276,4.97,TRUE
132,F02,S6_02,3800,1,17555,721,3382,31,14173,690,18276,4.97,TRUE
133,F03,S6_03,200,2,2975,16077,2941,34,14480,1597,19052,6,TRUE
134,F03,S6_03,2890,1,17421,1631,2941,34,14480,1597,19052,6,TRUE
135,F04,S6_04,126,2,1728,15224,1692,36,11854,3370,16952,6,TRUE
136,F04,S6_04,1888,1,13546,3406,1692,36,11854,3370,16952,6,TRUE
137,F05,S6_05,61.6,2,954,17760,911,43,9678,8082,18714,5.6,TRUE
138,F05,S6_05,982,1,10589,8125,911,43,9678,8082,18714,5.6,TRUE
139,F06,S6_06,30.4,2,461,17599,427,34,5739,11860,18060,5.46,TRUE
140,F06,S6_06,491,1,6166,11894,427,34,5739,11860,18060,5.46,TRUE
141,F07,S6_07,15.9,2,242,17822,225,17,3219,14603,18064,5.79,TRUE
142,F07,S6_07,249,1,3444,14620,225,17,3219,14603,18064,5.79,TRUE
143,F08,S6_08,7.4,2,118,18667,112,6,1745,16922,18785,5.65,TRUE
144,F08,S6_08,122,1,1857,16928,112,6,1745,16922,18785,5.65,TRUE
145,F09,S6_09,4.7,2,70,17431,60,10,799,16632,17501,6.66,TRUE
146,F09,S6_09,59.2,1,859,16642,60,10,799,16632,17501,6.66,TRUE
147,F10,S6_10,2.3,2,34,17339,29,5,439,16900,17373,5.92,TRUE
148,F10,S6_10,32.1,1,468,16905,29,5,439,16900,17373,5.92,TRUE
149,F11,S6_11,1.7,2,27,19054,23,4,240,18814,19081,8.24,TRUE
150,F11,S6_11,16.3,1,263,18818,23,4,240,18814,19081,8.24,TRUE
151,F12,S6_12,0.52,2,8,18089,7,1,107,17982,18097,5.77,TRUE
152,F12,S6_12,7.4,1,114,17983,7,1,107,17982,18097,5.77,TRUE
153,G01,S7_01,0,2,0,19784,0,0,19408,376,19784,NA,NA
154,G01,S7_01,4660,1,19408,376,0,0,19408,376,19784,NA,NA
155,G02,S7_02,0,2,0,17684,0,0,16947,737,17684,NA,NA
156,G02,S7_02,3740,1,16947,737,0,0,16947,737,17684,NA,NA
157,G03,S7_03,0.06,2,1,20228,1,0,18465,1763,20229,NA,NA
158,G03,S7_03,2870,1,18466,1763,1,0,18465,1763,20229,NA,NA
159,G04,S7_04,0.07,2,1,16785,1,0,13580,3205,16786,NA,NA
160,G04,S7_04,1948,1,13581,3205,1,0,13580,3205,16786,NA,NA
161,G05,S7_05,0.07,2,1,16810,1,0,9412,7398,16811,NA,NA
162,G05,S7_05,966,1,9413,7398,1,0,9412,7398,16811,NA,NA
163,G06,S7_06,0.13,2,2,17727,0,2,5930,11797,17729,-0.01,TRUE
164,G06,S7_06,479,1,5930,11799,0,2,5930,11797,17729,-0.01,TRUE
165,G07,S7_07,0.06,2,1,18170,0,1,3402,14768,18171,0,TRUE
166,G07,S7_07,244,1,3402,14769,0,1,3402,14768,18171,0,TRUE
167,G08,S7_08,0,2,0,16264,0,0,1556,14708,16264,NA,NA
168,G08,S7_08,118,1,1556,14708,0,0,1556,14708,16264,NA,NA
169,G09,S7_09,0,2,0,19550,0,0,948,18602,19550,NA,NA
170,G09,S7_09,58.5,1,948,18602,0,0,948,18602,19550,NA,NA
171,G10,S7_10,0,2,0,20326,0,0,522,19804,20326,NA,NA
172,G10,S7_10,30.6,1,522,19804,0,0,522,19804,20326,NA,NA
173,G11,S7_11,0,2,0,18071,0,0,222,17849,18071,NA,NA
174,G11,S7_11,14.5,1,222,17849,0,0,222,17849,18071,NA,NA
175,G12,S7_12,0.06,2,1,19179,0,1,122,19057,19180,-0.32,TRUE
176,G12,S7_12,7.5,1,122,19058,0,1,122,19057,19180,-0.32,TRUE
